Time,Open,High,Low,Close,Volume
2022-09-21 08:15:00,143.982,144.049,143.979,144.036,690
2022-09-21 08:20:00,144.034,144.076,143.954,143.955,816
2022-09-21 08:25:00,143.953,144.037,143.953,144.031,512
2022-09-21 08:30:00,144.032,144.065,143.982,143.999,818
2022-09-21 08:35:00,143.996,144.048,143.978,143.986,594
2022-09-21 08:40:00,143.984,144.028,143.981,144.014,497
2022-09-21 08:45:00,144.016,144.072,143.998,144.0,473
2022-09-21 08:50:00,143.994,143.995,143.932,143.964,781
2022-09-21 08:55:00,143.958,144.008,143.942,143.98,489
2022-09-21 09:00:00,143.984,144.032,143.952,144.006,621
2022-09-21 09:05:00,144.005,144.053,143.988,143.992,512
2022-09-21 09:10:00,143.992,144.007,143.974,143.986,638
2022-09-21 09:15:00,143.986,144.03,143.976,144.024,413
2022-09-21 09:20:00,144.022,144.022,143.976,143.982,387
2022-09-21 09:25:00,143.98,144.02,143.936,143.956,614
2022-09-21 09:30:00,143.958,144.016,143.954,143.961,873
2022-09-21 09:35:00,143.963,143.992,143.955,143.986,747
2022-09-21 09:40:00,143.988,144.034,143.98,144.026,594
2022-09-21 09:45:00,144.024,144.05,143.935,143.958,688
2022-09-21 09:50:00,143.964,144.034,143.962,144.008,705
2022-09-21 09:55:00,144.006,144.044,143.981,144.038,373
2022-09-21 10:00:00,144.036,144.05,143.944,143.971,646
2022-09-21 10:05:00,143.973,144.002,143.946,143.952,517
2022-09-21 10:10:00,143.954,143.993,143.946,143.954,605
2022-09-21 10:15:00,143.952,143.962,143.872,143.909,382
2022-09-21 10:20:00,143.908,143.964,143.902,143.956,532
2022-09-21 10:25:00,143.964,144.005,143.954,143.987,659
2022-09-21 10:30:00,143.986,144.049,143.98,143.994,453
2022-09-21 10:35:00,143.996,144.016,143.955,143.98,445
2022-09-21 10:40:00,143.98,144.015,143.964,144.012,357
2022-09-21 10:45:00,144.012,144.039,143.956,143.96,417
2022-09-21 10:50:00,143.959,144.068,143.958,144.06,442
2022-09-21 10:55:00,144.056,144.094,144.035,144.07,354
2022-09-21 11:00:00,144.073,144.156,144.073,144.155,867
2022-09-21 11:05:00,144.156,144.214,144.112,144.135,678
2022-09-21 11:10:00,144.132,144.138,144.09,144.096,411
2022-09-21 11:15:00,144.092,144.128,144.084,144.124,342
2022-09-21 11:20:00,144.116,144.154,144.102,144.132,364
2022-09-21 11:25:00,144.134,144.162,144.113,144.13,566
2022-09-21 11:30:00,144.132,144.132,144.098,144.121,660
2022-09-21 11:35:00,144.12,144.153,144.113,144.132,383
2022-09-21 11:40:00,144.132,144.147,144.104,144.109,397
2022-09-21 11:45:00,144.11,144.133,144.104,144.122,316
2022-09-21 11:50:00,144.124,144.171,144.12,144.163,394
2022-09-21 11:55:00,144.164,144.17,144.13,144.141,378
2022-09-21 12:00:00,144.142,144.236,144.142,144.235,445
2022-09-21 12:05:00,144.237,144.272,144.205,144.268,423
2022-09-21 12:10:00,144.267,144.282,144.26,144.279,285
2022-09-21 12:15:00,144.281,144.291,144.238,144.253,348
2022-09-21 12:20:00,144.254,144.27,144.237,144.264,392
2022-09-21 12:25:00,144.264,144.31,144.254,144.307,285
2022-09-21 12:30:00,144.31,144.316,144.282,144.294,304
2022-09-21 12:35:00,144.293,144.317,144.289,144.308,260
